Etiqueta,Aspect_Ratio,Densidad
2,0.8953,0.4249
2,0.9,0.4251
2,0.9053,0.4107
2,0.8912,0.4077
2,0.8953,0.4135
2,0.9053,0.4161
2,0.9048,0.4258
2,0.9043,0.4247
2,0.8953,0.4173
2,0.9344,0.4339
2,0.9444,0.4372
2,0.9494,0.4384
1,1.0,0.583
1,1.0242,0.6133
1,1.0488,0.6069
1,1.0488,0.6004
1,1.024,0.5934
1,1.0413,0.6077
1,1.0417,0.6021
1,1.0248,0.595
1,1.0336,0.5984
1,1.0339,0.59
1,1.0252,0.5769
1,1.0342,0.5751
1,1.0342,0.5751
1,1.0345,0.5661
1,1.0171,0.5584
1,1.0345,0.5562
1,1.0625,0.5669
1,1.0439,0.5603
1,1.0169,0.5477
1,1.0256,0.5539
1,1.0168,0.5498
1,1.0339,0.5539
1,1.0339,0.5539
1,1.0424,0.5671
1,1.0593,0.5668
1,1.05,0.5623
1,1.0588,0.5674
1,1.0413,0.5683
1,1.0413,0.5696
1,1.0583,0.573
1,1.0413,0.574
1,1.1441,0.6211
1,1.1441,0.6211
1,1.05,0.5826
1,1.1351,0.6359
1,1.125,0.6327
1,1.1351,0.6445
1,1.1239,0.6327
1,1.114,0.639
1,1.1327,0.6301
1,1.113,0.6281
1,1.1228,0.6386
1,1.1228,0.6438
1,1.1228,0.6428
1,1.1228,0.6514
1,1.1327,0.652
1,1.1416,0.641
1,1.1327,0.6414
1,1.1239,0.6422
1,1.1062,0.6523
1,1.1053,0.6431
1,1.1053,0.6431
1,1.0965,0.6404
1,1.087,0.6386
1,1.1043,0.6328
1,1.113,0.6319
1,1.1121,0.6268
1,1.1121,0.632
1,1.1304,0.6382
1,1.1304,0.6498
1,1.1111,0.6368
1,1.1017,0.6341
1,1.1017,0.6222
1,1.0397,0.5793
1,1.048,0.585
1,1.048,0.5786
1,1.04,0.5819
1,1.0317,0.5741
1,1.048,0.5743
1,1.0236,0.57
1,1.0236,0.5656
1,1.0317,0.577
1,1.0315,0.5691
1,1.1282,0.6178
1,1.0476,0.5773
1,1.0394,0.5745
1,1.0312,0.5753
1,1.0394,0.5789
1,1.0394,0.5812
1,1.0233,0.5736
1,1.0312,0.5741
1,1.0233,0.5653
1,1.0312,0.5686
1,1.0738,0.5978
1,1.0155,0.5665
1,1.0155,0.5671
1,1.0155,0.5638
1,1.0078,0.5704
1,1.0156,0.5728
1,1.0,0.5681
1,1.0157,0.5638
1,1.0079,0.5683
1,1.0,0.562
1,1.0079,0.5636
1,1.0331,0.5897
1,1.0248,0.591
1,1.025,0.5923
1,1.0248,0.582
1,1.0083,0.5986
1,1.0168,0.6072
1,1.0508,0.5946
1,1.0342,0.6023
1,1.0435,0.5994
1,1.0439,0.5948
1,1.0087,0.5784
1,1.0,0.577
1,1.0,0.5858
1,1.009,0.5842
1,1.0089,0.5701
1,1.0571,0.6149
1,1.0275,0.5889
1,1.0667,0.6082
1,1.0182,0.5868
1,1.0273,0.5837
1,1.0762,0.6197
1,1.0364,0.5822
1,1.1176,0.6165
1,1.1068,0.6105
1,1.0273,0.5735
1,1.0273,0.5723
1,1.0459,0.5689
1,1.0364,0.5651
1,1.1176,0.6138
1,1.0459,0.5888
1,1.045,0.5665
1,1.0545,0.5812
1,1.045,0.5829
1,1.0357,0.572
1,1.1154,0.6185
1,1.0357,0.578
1,1.0442,0.5777
1,1.1028,0.6118
1,1.0439,0.5845
1,1.0348,0.5832
1,1.0348,0.6014
1,1.0522,0.595
1,1.0526,0.601
1,1.0435,0.5943
1,1.0435,0.5877
1,1.0721,0.6015
1,1.0351,0.589
1,1.0265,0.5952
1,1.0541,0.5937
1,1.0541,0.5867
1,1.0455,0.5827
1,1.0455,0.5772
1,1.0367,0.5893
1,1.0089,0.5692
1,1.0561,0.5825
1,1.018,0.5531
1,1.0091,0.5679
1,1.0571,0.5912
1,1.0472,0.579
1,1.0185,0.5707
1,1.0377,0.5696
1,1.0187,0.5673
1,1.0283,0.5612
1,1.0588,0.5787
1,1.049,0.579
1,1.019,0.5703
1,1.049,0.5701
1,1.0392,0.5685
